incident_number,assignment_group,status,resolution_notes,MTTR,Priority,created_date,incident_description
INC101798,LCH - Service2 - Support,Completed,Network: DHCP reconfiguration fixed IP allocation.,10.4,P4,2021-12-12,analyst reported network disruption at VPN network affecting email gateway. Language much figure box will.
INC101799,LCH - Service2 - Support,Completed,Network: DHCP reconfiguration fixed IP allocation.,5.23,P4,2021-12-12,manager reported network disruption at London office affecting CRM. Big debate travel.
INC101800,LCH - Service1 - Support,Completed,Network: VPN issue resolved by resetting tunnel configuration.,7.06,P4,2021-12-19,analyst reported network disruption at HR portal affecting email gateway. Believe letter herself south.
INC101801,LCH - Service1 - Support,Completed,Access: MFA reset completed for user login.,10.59,P2,2021-12-19,intern unable to log into data warehouse from NY data center environment. Good we writer garden threat then.
INC101802,LCH - Service2 - Support,Completed,Software: Updated dependency libraries to resolve error.,18.1,P3,2021-12-19,intern experienced software crash while accessing SSO at NY data center. Best reach bed crime.
INC101803,LCH - Service2 - Support,In-Progress,Hardware: Cleaned fan assembly and updated BIOS.,8.71,P4,2021-12-19,manager's device at NY data center showed signs of failure during diagnostics. Expert camera eye community executive.
INC101804,LCH - Service1 - Support,Completed,Network: DHCP reconfiguration fixed IP allocation.,4.38,P4,2021-12-19,IT support reported network disruption at HR portal affecting data warehouse. Majority interest wonder language.
INC101805,LCH - Service2 - Support,Cancelled,Hardware: Cleaned fan assembly and updated BIOS.,15.48,P4,2021-12-19,finance user's device at VPN network showed signs of failure during diagnostics. Future ok clearly soon learn.
INC101806,LCH - Service1 - Support,Completed,Network: DHCP reconfiguration fixed IP allocation.,10.12,P3,2021-12-19,finance user reported network disruption at NY data center affecting SSO. Mind make cultural debate side always.
INC101807,LCH - Service2 - Support,Completed,Access: MFA reset completed for user login.,3.4,P4,2021-12-19,developer unable to log into CRM from NY data center environment. Process draw measure usually lay.
INC101808,LCH - Service1 - Support,Completed,Database: Optimized SQL query to resolve timeout.,11.73,P2,2021-12-19,IT support faced timeout error in data warehouse queries run from VPN network. Situation help next.
INC101809,LCH - Service1 - Support,Completed,Hardware: Replaced faulty RAM module.,6.64,P3,2021-12-19,intern's device at VPN network showed signs of failure during diagnostics. Real soon talk somebody summer many.
INC101810,LCH - Service2 - Support,Completed,Database: Table indexing completed to improve performance.,6.58,P4,2021-12-19,manager faced timeout error in email gateway queries run from NY data center. People market money senior.
INC101811,LCH - Service1 - Support,Completed,Database: Optimized SQL query to resolve timeout.,3.67,P4,2021-12-19,analyst faced timeout error in VPN client queries run from NY data center. Budget culture student land.
INC101812,LCH - Service2 - Support,Completed,Database: Cleared blocking session and restarted job.,6.41,P4,2021-12-19,IT support faced timeout error in VPN client queries run from VPN network. Air administration get travel main person.
INC101813,LCH - Service1 - Support,In-Progress,Network: Switch firmware upgrade resolved packet loss.,18.8,P4,2021-12-19,developer reported network disruption at NY data center affecting email gateway. Always beautiful treatment student.
INC101814,LCH - Service1 - Support,Completed,Software: Patched application resolved crash issue.,11.61,P4,2021-12-19,IT support experienced software crash while accessing email gateway at remote session. Draw allow garden maybe produce throughout.
INC101815,LCH - Service1 - Support,Completed,Network: Switch firmware upgrade resolved packet loss.,19.89,P4,2021-12-19,IT support reported network disruption at remote session affecting VPN client. Maintain draw laugh fill.
INC101816,LCH - Service1 - Support,Completed,Software: Updated dependency libraries to resolve error.,0.47,P2,2021-12-19,developer experienced software crash while accessing email gateway at NY data center. Water hand civil trouble.
INC101817,LCH - Service2 - Support,In-Progress,Software: Patched application resolved crash issue.,7.64,P4,2021-12-19,analyst experienced software crash while accessing VPN client at NY data center. Style lead up store.
INC101818,LCH - Service1 - Support,Completed,Hardware: Cleaned fan assembly and updated BIOS.,4.8,P4,2021-12-19,intern's device at London office showed signs of failure during diagnostics. Camera pull look.
INC101819,LCH - Service1 - Support,Completed,Access: MFA reset completed for user login.,0.99,P4,2021-12-19,intern unable to log into data warehouse from NY data center environment. Worry by thank remember.
INC101820,LCH - Service2 - Support,Completed,Network: DHCP reconfiguration fixed IP allocation.,14.02,P4,2021-12-19,analyst reported network disruption at remote session affecting data warehouse. Mission agree could blood.
INC101821,LCH - Service2 - Support,Completed,Database: Optimized SQL query to resolve timeout.,13.15,P4,2021-12-19,developer faced timeout error in SSO queries run from NY data center. Difficult unit yourself official describe.
INC101822,LCH - Service2 - Support,Completed,Database: Optimized SQL query to resolve timeout.,5.51,P4,2021-12-19,developer faced timeout error in SSO queries run from NY data center. Eight challenge recent notice follow.
INC101823,LCH - Service1 - Support,Completed,Network: Switch firmware upgrade resolved packet loss.,12.23,P4,2021-12-19,IT support reported network disruption at VPN network affecting VPN client. Security positive return dinner good.
INC101824,LCH - Service1 - Support,Completed,Hardware: Cleaned fan assembly and updated BIOS.,12.75,P3,2021-12-19,developer's device at HR portal showed signs of failure during diagnostics. Learn student camera remember none.
INC101825,LCH - Service1 - Support,Completed,Software: Reinstalled software after registry clean-up.,10.27,P4,2021-12-19,developer experienced software crash while accessing SSO at VPN network. Become daughter fill radio environment fight.
INC101826,LCH - Service2 - Support,Completed,Hardware: Replaced faulty RAM module.,15.88,P4,2021-12-19,finance user's device at VPN network showed signs of failure during diagnostics. Executive head today agent.
INC101827,LCH - Service2 - Support,Completed,Software: Updated dependency libraries to resolve error.,13.37,P4,2021-12-19,manager experienced software crash while accessing VPN client at remote session. Box treat truth investment.
INC101828,LCH - Service1 - Support,In-Progress,Network: Switch firmware upgrade resolved packet loss.,12.72,P4,2021-12-19,manager reported network disruption at HR portal affecting CRM. Interview design mouth.
INC101829,LCH - Service1 - Support,Completed,Software: Reinstalled software after registry clean-up.,9.08,P2,2021-12-19,intern experienced software crash while accessing data warehouse at NY data center. Station cup necessary.
INC101830,LCH - Service2 - Support,Completed,Hardware: Cleaned fan assembly and updated BIOS.,12.19,P4,2021-12-19,finance user's device at remote session showed signs of failure during diagnostics. Media fund son by.
INC101831,LCH - Service1 - Support,Completed,Software: Patched application resolved crash issue.,17.04,P4,2021-12-19,IT support experienced software crash while accessing CRM at VPN network. Whether forward quickly smile idea develop.
INC101832,LCH - Service1 - Support,Completed,Database: Optimized SQL query to resolve timeout.,6.83,P4,2021-12-19,finance user faced timeout error in SSO queries run from NY data center. Hit bed century fight economy.
INC101833,LCH - Service2 - Support,Completed,Access: Group membership updated in AD.,4.88,P3,2021-12-19,manager unable to log into CRM from HR portal environment. Professional happen arrive red upon something.
INC101834,LCH - Service1 - Support,Completed,Database: Cleared blocking session and restarted job.,8.83,P3,2021-12-19,finance user faced timeout error in SSO queries run from NY data center. Dream speech green.
INC101835,LCH - Service1 - Support,Completed,Hardware: Replaced faulty RAM module.,10.99,P4,2021-12-19,intern's device at VPN network showed signs of failure during diagnostics. Street present cultural for.
INC101836,LCH - Service1 - Support,Cancelled,Software: Reinstalled software after registry clean-up.,18.14,P4,2021-12-19,analyst experienced software crash while accessing VPN client at remote session. Recent develop whom human.
INC101837,LCH - Service2 - Support,Completed,Network: VPN issue resolved by resetting tunnel configuration.,13.01,P4,2021-12-19,manager reported network disruption at VPN network affecting CRM. Yes art church.
INC101838,LCH - Service2 - Support,Completed,Network: VPN issue resolved by resetting tunnel configuration.,5.84,P2,2021-12-19,IT support reported network disruption at HR portal affecting data warehouse. Detail describe air.
INC101839,LCH - Service1 - Support,Completed,Database: Table indexing completed to improve performance.,18.39,P4,2021-12-19,developer faced timeout error in SSO queries run from NY data center. Receive history nice.
INC101840,LCH - Service1 - Support,Completed,Access: New role permissions assigned manually.,11.85,P4,2021-12-19,finance user unable to log into CRM from VPN network environment. Traditional provide to senior party.
INC101841,LCH - Service2 - Support,Completed,Software: Patched application resolved crash issue.,9.35,P4,2021-12-19,manager experienced software crash while accessing data warehouse at remote session. Above office attorney street hit most.
INC101842,LCH - Service2 - Support,Completed,Hardware: Cleaned fan assembly and updated BIOS.,3.34,P4,2021-12-19,finance user's device at NY data center showed signs of failure during diagnostics. Wind offer strong his number.
INC101843,LCH - Service1 - Support,Completed,Software: Updated dependency libraries to resolve error.,10.93,P2,2021-12-19,developer experienced software crash while accessing CRM at HR portal. Officer kitchen politics recent.
INC101844,LCH - Service2 - Support,Completed,Network: Switch firmware upgrade resolved packet loss.,2.38,P4,2021-12-19,developer reported network disruption at remote session affecting data warehouse. Century heart long window.
INC101845,LCH - Service1 - Support,In-Progress,Database: Table indexing completed to improve performance.,8.46,P4,2021-12-19,intern faced timeout error in email gateway queries run from NY data center. Simply main always.
INC101846,LCH - Service2 - Support,In-Progress,Access: MFA reset completed for user login.,7.94,P3,2021-12-19,developer unable to log into SSO from remote session environment. None ago remain network although just.
INC101847,LCH - Service2 - Support,Completed,Database: Cleared blocking session and restarted job.,14.19,P4,2021-12-19,finance user faced timeout error in VPN client queries run from remote session. Movement short stuff west imagine as.
INC101848,LCH - Service1 - Support,Completed,Network: DHCP reconfiguration fixed IP allocation.,8.23,P4,2021-12-19,manager reported network disruption at VPN network affecting data warehouse. Tend its artist study.
INC101849,LCH - Service1 - Support,Completed,Software: Reinstalled software after registry clean-up.,7.41,P4,2021-12-19,manager experienced software crash while accessing data warehouse at NY data center. Shoulder girl food daughter other Mr.
INC101850,LCH - Service1 - Support,In-Progress,Access: Group membership updated in AD.,8.53,P3,2021-12-19,IT support unable to log into SSO from remote session environment. Half yet paper.
INC101851,LCH - Service1 - Support,In-Progress,Access: MFA reset completed for user login.,4.29,P3,2021-12-19,IT support unable to log into data warehouse from London office environment. With indicate sea lose.
INC101852,LCH - Service1 - Support,Completed,Network: VPN issue resolved by resetting tunnel configuration.,9.07,P4,2021-12-19,intern reported network disruption at HR portal affecting SSO. Hear sing what.
INC101853,LCH - Service2 - Support,Completed,Database: Optimized SQL query to resolve timeout.,17.09,P4,2021-12-26,analyst faced timeout error in SSO queries run from HR portal. Century law each international.
INC101854,LCH - Service2 - Support,In-Progress,Database: Cleared blocking session and restarted job.,3.14,P4,2021-12-26,finance user faced timeout error in SSO queries run from NY data center. Food through doctor that travel.
INC101855,LCH - Service2 - Support,Completed,Network: VPN issue resolved by resetting tunnel configuration.,8.65,P3,2021-12-26,finance user reported network disruption at remote session affecting VPN client. Speech into health camera decision.
INC101856,LCH - Service2 - Support,Completed,Network: VPN issue resolved by resetting tunnel configuration.,15.19,P3,2021-12-26,analyst reported network disruption at remote session affecting data warehouse. Music position money key enter chair.
INC101857,LCH - Service1 - Support,Completed,Software: Updated dependency libraries to resolve error.,5.27,P4,2021-12-26,intern experienced software crash while accessing SSO at London office. Citizen tell last community.
INC101858,LCH - Service1 - Support,Completed,Database: Table indexing completed to improve performance.,10.44,P4,2021-12-26,finance user faced timeout error in CRM queries run from London office. Above major that fast blue.
INC101859,LCH - Service1 - Support,Completed,Software: Updated dependency libraries to resolve error.,17.73,P4,2021-12-26,IT support experienced software crash while accessing SSO at remote session. Create artist major police interview benefit.
INC101860,LCH - Service2 - Support,Completed,Software: Patched application resolved crash issue.,13.08,P4,2021-12-26,analyst experienced software crash while accessing data warehouse at London office. Serious church door area through responsibility.
INC101861,LCH - Service2 - Support,Completed,Hardware: Cleaned fan assembly and updated BIOS.,9.87,P3,2021-12-26,developer's device at London office showed signs of failure during diagnostics. List college involve.
INC101862,LCH - Service1 - Support,Completed,Hardware: Cleaned fan assembly and updated BIOS.,1.6,P4,2021-12-26,finance user's device at remote session showed signs of failure during diagnostics. Professional quickly leg hundred.
INC101863,LCH - Service1 - Support,In-Progress,Software: Reinstalled software after registry clean-up.,5.52,P4,2021-12-26,IT support experienced software crash while accessing SSO at London office. Most spend phone establish debate budget.
INC101864,LCH - Service2 - Support,Completed,Hardware: Cleaned fan assembly and updated BIOS.,10.74,P4,2021-12-26,intern's device at NY data center showed signs of failure during diagnostics. Blue require watch experience.
INC101865,LCH - Service2 - Support,Completed,Database: Optimized SQL query to resolve timeout.,20.75,P4,2021-12-26,IT support faced timeout error in data warehouse queries run from remote session. Enter whatever hope.
INC101866,LCH - Service1 - Support,Cancelled,Network: DHCP reconfiguration fixed IP allocation.,9.63,P4,2021-12-26,manager reported network disruption at HR portal affecting SSO. Name face bank American certain story.
INC101867,LCH - Service2 - Support,Completed,Network: VPN issue resolved by resetting tunnel configuration.,4.2,P4,2021-12-26,developer reported network disruption at HR portal affecting email gateway. Board officer different want wrong.
INC101868,LCH - Service1 - Support,Completed,Access: Group membership updated in AD.,17.51,P4,2021-12-26,manager unable to log into CRM from HR portal environment. Trial assume young resource cold.
INC101869,LCH - Service2 - Support,Completed,Hardware: Replaced faulty RAM module.,12.92,P2,2021-12-26,manager's device at NY data center showed signs of failure during diagnostics. Ever at cell short kid.
INC101870,LCH - Service1 - Support,Completed,Hardware: Power unit replacement resolved the issue.,12.43,P4,2021-12-26,finance user's device at London office showed signs of failure during diagnostics. Article interesting same force write.
INC101871,LCH - Service2 - Support,Completed,Database: Optimized SQL query to resolve timeout.,8.91,P4,2021-12-26,IT support faced timeout error in CRM queries run from HR portal. Company step data across cultural.
INC101872,LCH - Service1 - Support,Completed,Access: New role permissions assigned manually.,2.26,P4,2021-12-26,IT support unable to log into VPN client from London office environment. Relationship owner community chance treatment half.
INC101873,LCH - Service1 - Support,Completed,Network: Switch firmware upgrade resolved packet loss.,12.39,P4,2021-12-26,IT support reported network disruption at London office affecting data warehouse. Science eat short guy indeed Congress rest.
INC101874,LCH - Service1 - Support,Completed,Software: Reinstalled software after registry clean-up.,6.9,P4,2021-12-26,IT support experienced software crash while accessing VPN client at HR portal. See each large job media sea.
INC101875,LCH - Service1 - Support,Completed,Access: Group membership updated in AD.,14.02,P4,2021-12-26,manager unable to log into CRM from VPN network environment. Simply support know century nature.
INC101876,LCH - Service2 - Support,Completed,Access: MFA reset completed for user login.,4.68,P4,2021-12-26,developer unable to log into SSO from VPN network environment. Nature discuss our teacher million artist.
INC101877,LCH - Service2 - Support,Completed,Database: Optimized SQL query to resolve timeout.,16.95,P3,2021-12-26,IT support faced timeout error in SSO queries run from VPN network. Fill garden respond realize require turn.
INC101878,LCH - Service1 - Support,Completed,Software: Patched application resolved crash issue.,8.44,P3,2021-12-26,developer experienced software crash while accessing data warehouse at remote session. Do back store.
INC101879,LCH - Service1 - Support,Completed,Software: Reinstalled software after registry clean-up.,14.31,P4,2021-12-26,manager experienced software crash while accessing SSO at London office. Message left draw why.
INC101880,LCH - Service2 - Support,Completed,Software: Reinstalled software after registry clean-up.,15.35,P4,2021-12-26,intern experienced software crash while accessing email gateway at HR portal. Character allow work open sign action.
INC101881,LCH - Service2 - Support,Completed,Access: Group membership updated in AD.,13.58,P4,2021-12-26,developer unable to log into data warehouse from HR portal environment. Strategy appear fund friend six.
INC101882,LCH - Service2 - Support,Completed,Database: Table indexing completed to improve performance.,13.81,P4,2021-12-26,IT support faced timeout error in SSO queries run from remote session. Keep condition determine include product condition.
INC101883,LCH - Service2 - Support,Completed,Access: New role permissions assigned manually.,16.35,P4,2021-12-26,analyst unable to log into CRM from VPN network environment. Customer listen money when.
INC101884,LCH - Service1 - Support,Completed,Database: Table indexing completed to improve performance.,6.39,P4,2021-12-26,manager faced timeout error in CRM queries run from remote session. Citizen these nice including.
INC101885,LCH - Service1 - Support,Completed,Software: Reinstalled software after registry clean-up.,11.2,P4,2021-12-26,finance user experienced software crash while accessing SSO at London office. Prove indeed wait some language none.
INC101886,LCH - Service2 - Support,Completed,Database: Optimized SQL query to resolve timeout.,13.16,P4,2021-12-26,developer faced timeout error in SSO queries run from remote session. Spend generation site no language night.
INC101887,LCH - Service1 - Support,Completed,Network: VPN issue resolved by resetting tunnel configuration.,10.02,P4,2021-12-26,developer reported network disruption at NY data center affecting CRM. Investment cold anything experience born including.
INC101888,LCH - Service2 - Support,Completed,Database: Optimized SQL query to resolve timeout.,19.4,P4,2021-12-26,developer faced timeout error in CRM queries run from London office. Rest treat hit.
INC101889,LCH - Service1 - Support,Completed,Software: Patched application resolved crash issue.,14.76,P4,2021-12-26,developer experienced software crash while accessing CRM at remote session. She many deal language particular.
INC101890,LCH - Service2 - Support,Completed,Software: Patched application resolved crash issue.,17.79,P4,2021-12-26,IT support experienced software crash while accessing VPN client at HR portal. Short as two along season.
INC101891,LCH - Service1 - Support,Cancelled,Hardware: Power unit replacement resolved the issue.,8.0,P4,2021-12-26,manager's device at VPN network showed signs of failure during diagnostics. Evening message draw degree spring mention.
INC101892,LCH - Service1 - Support,Completed,Database: Table indexing completed to improve performance.,0.66,P4,2021-12-26,developer faced timeout error in email gateway queries run from London office. Development avoid list there leg law.
INC101893,LCH - Service1 - Support,Completed,Access: New role permissions assigned manually.,4.25,P4,2021-12-26,finance user unable to log into VPN client from NY data center environment. Modern lawyer enjoy.
INC101894,LCH - Service2 - Support,Cancelled,Database: Cleared blocking session and restarted job.,7.06,P4,2021-12-26,IT support faced timeout error in SSO queries run from London office. Mr recently site production tree.
INC101895,LCH - Service1 - Support,Completed,Network: VPN issue resolved by resetting tunnel configuration.,4.68,P4,2021-12-26,IT support reported network disruption at remote session affecting VPN client. Amount gas trade.
INC101896,LCH - Service1 - Support,Completed,Access: Group membership updated in AD.,7.58,P4,2021-12-26,analyst unable to log into VPN client from London office environment. Military none mention worker doctor.
INC101897,LCH - Service1 - Support,In-Progress,Software: Patched application resolved crash issue.,6.68,P4,2021-12-26,analyst experienced software crash while accessing VPN client at VPN network. Today true place.
INC101898,LCH - Service1 - Support,Completed,Network: DHCP reconfiguration fixed IP allocation.,8.67,P4,2021-12-26,intern reported network disruption at remote session affecting data warehouse. Herself perform story.
INC101899,LCH - Service1 - Support,Completed,Software: Patched application resolved crash issue.,0.5,P4,2021-12-26,developer experienced software crash while accessing data warehouse at London office. Goal available beautiful tell magazine fight.
INC101900,LCH - Service1 - Support,Completed,Database: Optimized SQL query to resolve timeout.,8.42,P4,2021-12-26,manager faced timeout error in data warehouse queries run from remote session. Market drive PM family behind.
INC101901,LCH - Service2 - Support,In-Progress,Network: VPN issue resolved by resetting tunnel configuration.,12.29,P4,2021-12-26,IT support reported network disruption at HR portal affecting data warehouse. Prepare across seven young.
INC101902,LCH - Service2 - Support,Completed,Software: Reinstalled software after registry clean-up.,10.85,P4,2021-12-26,developer experienced software crash while accessing data warehouse at VPN network. Arm PM prevent art.
INC101903,LCH - Service2 - Support,Completed,Database: Table indexing completed to improve performance.,8.05,P3,2022-01-02,intern faced timeout error in SSO queries run from London office. Player pressure itself around various home.
INC101904,LCH - Service1 - Support,Completed,Software: Reinstalled software after registry clean-up.,11.1,P4,2022-01-02,developer experienced software crash while accessing email gateway at NY data center. Message ability clear next always energy.
INC101905,LCH - Service1 - Support,Completed,Software: Updated dependency libraries to resolve error.,4.6,P3,2022-01-02,analyst experienced software crash while accessing email gateway at NY data center. Already way crime.
INC101906,LCH - Service2 - Support,Completed,Software: Updated dependency libraries to resolve error.,0.1,P3,2022-01-02,intern experienced software crash while accessing VPN client at HR portal. Course Mr rule again media.
INC101907,LCH - Service1 - Support,Completed,Access: New role permissions assigned manually.,9.76,P4,2022-01-02,IT support unable to log into SSO from remote session environment. World environmental get product not.
INC101908,LCH - Service1 - Support,In-Progress,Network: Switch firmware upgrade resolved packet loss.,7.7,P4,2022-01-02,IT support reported network disruption at remote session affecting email gateway. Again trade hotel send fill.
INC101909,LCH - Service2 - Support,Cancelled,Database: Optimized SQL query to resolve timeout.,1.92,P4,2022-01-02,IT support faced timeout error in data warehouse queries run from HR portal. Rich front ready suddenly.
INC101910,LCH - Service1 - Support,Cancelled,Database: Cleared blocking session and restarted job.,18.01,P3,2022-01-02,manager faced timeout error in data warehouse queries run from remote session. Deal customer future data season.
INC101911,LCH - Service1 - Support,Completed,Database: Cleared blocking session and restarted job.,6.91,P4,2022-01-02,intern faced timeout error in email gateway queries run from London office. Mr game really.
INC101912,LCH - Service2 - Support,In-Progress,Software: Reinstalled software after registry clean-up.,10.57,P4,2022-01-02,intern experienced software crash while accessing data warehouse at VPN network. Personal direction hour.
INC101913,LCH - Service2 - Support,Completed,Database: Optimized SQL query to resolve timeout.,8.48,P4,2022-01-02,manager faced timeout error in CRM queries run from HR portal. Describe throughout onto myself four.
INC101914,LCH - Service2 - Support,Completed,Software: Patched application resolved crash issue.,14.03,P4,2022-01-02,IT support experienced software crash while accessing data warehouse at remote session. Inside new sit.
INC101915,LCH - Service1 - Support,Completed,Network: VPN issue resolved by resetting tunnel configuration.,7.03,P4,2022-01-02,manager reported network disruption at London office affecting email gateway. Clear factor visit feel.
INC101916,LCH - Service2 - Support,Completed,Access: New role permissions assigned manually.,11.78,P4,2022-01-02,IT support unable to log into email gateway from London office environment. List explain without economy.
INC101917,LCH - Service2 - Support,Completed,Hardware: Replaced faulty RAM module.,8.89,P4,2022-01-02,IT support's device at London office showed signs of failure during diagnostics. Stage herself employee again group TV.
INC101918,LCH - Service1 - Support,In-Progress,Network: Switch firmware upgrade resolved packet loss.,7.01,P4,2022-01-02,finance user reported network disruption at London office affecting VPN client. Bag chance another.
INC101919,LCH - Service1 - Support,Completed,Software: Updated dependency libraries to resolve error.,4.83,P4,2022-01-02,intern experienced software crash while accessing email gateway at NY data center. View move rather.
INC101920,LCH - Service2 - Support,Cancelled,Hardware: Replaced faulty RAM module.,14.29,P3,2022-01-02,analyst's device at London office showed signs of failure during diagnostics. Including natural seat.
INC101921,LCH - Service2 - Support,Completed,Database: Cleared blocking session and restarted job.,6.63,P4,2022-01-02,developer faced timeout error in CRM queries run from London office. Buy anything themselves road fund last.
INC101922,LCH - Service1 - Support,Completed,Hardware: Power unit replacement resolved the issue.,7.58,P4,2022-01-02,intern's device at VPN network showed signs of failure during diagnostics. Heart example want plant listen.
INC101923,LCH - Service1 - Support,Cancelled,Hardware: Power unit replacement resolved the issue.,2.98,P4,2022-01-02,intern's device at NY data center showed signs of failure during diagnostics. Rather daughter well back ever.
INC101924,LCH - Service1 - Support,Completed,Access: MFA reset completed for user login.,16.97,P4,2022-01-02,IT support unable to log into CRM from London office environment. Yard capital TV.
INC101925,LCH - Service1 - Support,Completed,Access: Group membership updated in AD.,11.0,P4,2022-01-02,analyst unable to log into VPN client from VPN network environment. Team low total place.
INC101926,LCH - Service2 - Support,Completed,Network: DHCP reconfiguration fixed IP allocation.,9.01,P4,2022-01-02,analyst reported network disruption at VPN network affecting data warehouse. Meet authority relate American.
INC101927,LCH - Service2 - Support,Completed,Network: VPN issue resolved by resetting tunnel configuration.,3.52,P4,2022-01-02,manager reported network disruption at remote session affecting CRM. Threat exactly call no several local.
INC101928,LCH - Service1 - Support,Completed,Network: Switch firmware upgrade resolved packet loss.,0.24,P4,2022-01-02,IT support reported network disruption at HR portal affecting CRM. Director pull author first.
INC101929,LCH - Service2 - Support,Completed,Hardware: Cleaned fan assembly and updated BIOS.,12.67,P4,2022-01-02,analyst's device at NY data center showed signs of failure during diagnostics. Show my daughter each do.
INC101930,LCH - Service1 - Support,Completed,Database: Cleared blocking session and restarted job.,14.32,P4,2022-01-02,finance user faced timeout error in data warehouse queries run from VPN network. List should together level business.
INC101931,LCH - Service1 - Support,Completed,Hardware: Replaced faulty RAM module.,3.9,P3,2022-01-02,manager's device at remote session showed signs of failure during diagnostics. Natural far glass line character.
INC101932,LCH - Service2 - Support,Completed,Database: Table indexing completed to improve performance.,4.21,P3,2022-01-02,IT support faced timeout error in CRM queries run from VPN network. World reach heart organization cell.
INC101933,LCH - Service2 - Support,Completed,Hardware: Cleaned fan assembly and updated BIOS.,13.18,P4,2022-01-02,manager's device at VPN network showed signs of failure during diagnostics. Consumer large draw table radio charge.
INC101934,LCH - Service1 - Support,Completed,Access: Group membership updated in AD.,8.54,P4,2022-01-02,intern unable to log into data warehouse from remote session environment. Among treat anyone story step.
INC101935,LCH - Service2 - Support,Completed,Hardware: Power unit replacement resolved the issue.,7.69,P4,2022-01-02,finance user's device at NY data center showed signs of failure during diagnostics. Professional team herself on age.
INC101936,LCH - Service1 - Support,Completed,Database: Table indexing completed to improve performance.,8.97,P4,2022-01-02,IT support faced timeout error in CRM queries run from London office. Mouth ball court reveal sport.
INC101937,LCH - Service2 - Support,Completed,Hardware: Power unit replacement resolved the issue.,8.08,P4,2022-01-02,analyst's device at VPN network showed signs of failure during diagnostics. For finally eat.
INC101938,LCH - Service2 - Support,Completed,Access: MFA reset completed for user login.,11.61,P4,2022-01-02,analyst unable to log into CRM from VPN network environment. Somebody property evidence consumer from man.
INC101939,LCH - Service2 - Support,In-Progress,Access: MFA reset completed for user login.,7.42,P4,2022-01-02,intern unable to log into email gateway from HR portal environment. Tonight reach main lay.
INC101940,LCH - Service1 - Support,Completed,Network: VPN issue resolved by resetting tunnel configuration.,14.65,P4,2022-01-02,manager reported network disruption at remote session affecting CRM. Air off drug maintain shoulder career.
INC101941,LCH - Service1 - Support,Completed,Software: Updated dependency libraries to resolve error.,5.94,P4,2022-01-02,finance user experienced software crash while accessing data warehouse at HR portal. Exist over management treat result.
INC101942,LCH - Service1 - Support,Completed,Software: Patched application resolved crash issue.,12.85,P2,2022-01-02,finance user experienced software crash while accessing SSO at VPN network. International hard something case.
INC101943,LCH - Service2 - Support,Completed,Hardware: Power unit replacement resolved the issue.,13.31,P4,2022-01-02,IT support's device at HR portal showed signs of failure during diagnostics. Language peace state.
INC101944,LCH - Service2 - Support,Completed,Hardware: Replaced faulty RAM module.,1.53,P4,2022-01-02,analyst's device at VPN network showed signs of failure during diagnostics. Hold election rock themselves.
INC101945,LCH - Service2 - Support,Completed,Hardware: Cleaned fan assembly and updated BIOS.,4.11,P4,2022-01-02,analyst's device at NY data center showed signs of failure during diagnostics. Whether head past.
INC101946,LCH - Service1 - Support,Completed,Software: Updated dependency libraries to resolve error.,12.51,P4,2022-01-02,finance user experienced software crash while accessing CRM at VPN network. After public mean item.
INC101947,LCH - Service1 - Support,Completed,Network: VPN issue resolved by resetting tunnel configuration.,6.28,P4,2022-01-02,intern reported network disruption at NY data center affecting SSO. Form country successful billion yeah.
INC101948,LCH - Service1 - Support,Completed,Network: VPN issue resolved by resetting tunnel configuration.,7.79,P2,2022-01-02,finance user reported network disruption at NY data center affecting email gateway. Situation can international consider field.
INC101949,LCH - Service2 - Support,Completed,Access: Group membership updated in AD.,12.1,P4,2022-01-02,intern unable to log into email gateway from NY data center environment. Here more let.
INC101950,LCH - Service2 - Support,Completed,Access: New role permissions assigned manually.,14.38,P4,2022-01-02,intern unable to log into data warehouse from London office environment. Air rate move pass exist smile.
INC101951,LCH - Service2 - Support,Completed,Hardware: Cleaned fan assembly and updated BIOS.,5.85,P3,2022-01-02,intern's device at VPN network showed signs of failure during diagnostics. Too give baby energy book.
INC101952,LCH - Service1 - Support,Completed,Access: MFA reset completed for user login.,12.82,P4,2022-01-02,analyst unable to log into SSO from London office environment. Whose put car lot.
INC101953,LCH - Service1 - Support,Completed,Network: Switch firmware upgrade resolved packet loss.,13.1,P4,2022-01-02,finance user reported network disruption at London office affecting email gateway. Sort me what.
INC101954,LCH - Service2 - Support,Completed,Access: New role permissions assigned manually.,2.71,P4,2022-01-02,finance user unable to log into SSO from VPN network environment. Than note fight new ahead party.
INC101955,LCH - Service1 - Support,Completed,Software: Updated dependency libraries to resolve error.,3.28,P4,2022-01-02,IT support experienced software crash while accessing SSO at VPN network. Community save sport.
INC101956,LCH - Service2 - Support,Completed,Access: Group membership updated in AD.,21.06,P4,2022-01-02,intern unable to log into CRM from HR portal environment. Choice expect would line thought.
INC101957,LCH - Service1 - Support,In-Progress,Hardware: Power unit replacement resolved the issue.,20.86,P4,2022-01-02,developer's device at remote session showed signs of failure during diagnostics. Speech if ball watch responsibility campaign.
INC101958,LCH - Service1 - Support,Completed,Hardware: Cleaned fan assembly and updated BIOS.,12.14,P4,2022-01-02,finance user's device at VPN network showed signs of failure during diagnostics. Shoulder service message wife safe.
